SubjID,Run,Feedback,Counterbalance,Block,Trial,Condition,Cond_num(1=E/2=H),CorResp(1=L/2=R),Resp,RT,GradedResp,CorGrid,DecoyGrid,TrialStart/Stim1,Stim2,Stim3,Stim4,MemProbe,Feedback,TrialEnd
BR212,2,y,2,9,35,Hard,2,2,2,1.4557,1,5   6   8  10   2   3  11  12,5   6   8  10   2   3  11   1,314.8476,315.8473,316.8473,317.8472,318.8471,320.3136,320.5636
BR212,2,y,2,9,36,Hard,2,1,2,1.246,0,7   1  10   9   3   6   4   2,7   1  10   5   3   6   4   2,322.8468,323.8467,324.8466,325.8465,326.8557,328.113,328.3712
BR212,2,y,2,10,37,Easy,1,1,1,1.1431,1,11   6   7  12,11   6   5  12,330.8628,331.8687,332.868,333.8673,334.8666,336.0157,336.2656
BR212,2,y,2,10,38,Easy,1,2,1,1.3621,0,2   9  12   7,4   9  12   7,338.8637,339.863,340.8623,341.8619,342.8619,344.2284,344.4784
BR212,2,y,2,10,39,Easy,1,1,1,1.6186,1,9   5   2  11,9   5  12  11,346.8615,347.8615,348.8614,349.8613,350.8612,352.4944,352.7444
BR212,2,y,2,10,40,Easy,1,2,2,0.97952,1,6  8  4  5,6  8  4  9,354.8689,355.8775,356.8841,357.8834,358.8827,359.8772,360.1318
BR212,2,y,2,11,41,Easy,1,2,2,0.93222,1,4   1   9  10,2   1   9  10,362.8798,363.8791,364.8784,365.8777,366.877,367.8265,368.0765
BR212,2,y,2,11,42,Easy,1,1,1,1.0951,1,5  11   3  10,5  11   4  10,370.8763,371.8762,372.8761,373.8761,374.876,375.9871,376.2425
BR212,2,y,2,11,43,Easy,1,2,2,0.83689,1,10   4   9   2,10   4   3   2,378.885,379.8922,380.9003,381.9088,382.9155,383.7649,384.0147
BR212,2,y,2,11,44,Easy,1,1,1,0.83525,1,4  1  9  8,4  1  7  8,386.925,387.9286,388.9282,389.9271,390.9264,391.7758,392.0256
BR212,2,y,2,12,45,Hard,2,2,2,1.0039,1,5   9   4  12   7  11   8   6,5   9   4  12  10  11   8   6,394.9244,395.9243,396.9242,397.9242,398.9241,399.9406,400.1906
BR212,2,y,2,12,46,Hard,2,2,2,1.1488,1,8   4  10   1   6   9  12  11,8   4  10   1   6   9  12   2,402.9238,403.9237,404.933,405.9402,406.9483,408.1141,408.3639
BR212,2,y,2,12,47,Hard,2,2,2,1.0439,1,10   6   2  11   5   1  12   4,10   6   2  11   5   9  12   4,410.9564,411.9613,412.9606,413.9599,414.9592,416.0084,416.2582
BR212,2,y,2,12,48,Hard,2,2,2,1.0379,1,7   8  11   1   3   9  10  12,7   8  11   1   3   9   6  12,418.9563,419.9557,420.9557,421.9556,422.9555,424.0054,424.2554
