SubjID,Run,Feedback,Counterbalance,Block,Trial,Condition,Cond_num(1=E/2=H),CorResp(1=L/2=R),Resp,RT,GradedResp,CorGrid,DecoyGrid,TrialStart/Stim1,Stim2,Stim3,Stim4,MemProbe,Feedback,TrialEnd
BR212,1,y,1,1,1,Easy,1,1,1,1.0824,1,12   5   7   8,12   6   7   8,16.0717,17.0716,18.0715,19.0714,20.0714,21.1713,21.4212
BR212,1,y,1,1,2,Easy,1,1,1,1.1137,1,12   7   6   3,12  11   6   3,24.0798,25.0876,26.0951,27.1041,28.1103,29.2373,29.4926
BR212,1,y,1,1,3,Easy,1,2,2,0.81641,1,7  8  2  3,1  8  2  3,32.1074,33.1067,34.106,35.1052,36.1045,36.9373,37.1871
BR212,1,y,1,1,4,Easy,1,1,1,1.4391,1,10   5   4  11,10   5   8  11,40.1031,41.103,42.1029,43.1028,44.1028,45.5526,45.8026
BR212,1,y,1,2,5,Hard,2,1,2,1.1739,0,11   7   4   6   1   5   2  12,11   7   4   6   1   5   9  12,48.1024,49.1119,50.1189,51.1271,52.1354,53.3255,53.5753
BR212,1,y,1,2,6,Hard,2,2,2,1.1112,1,8   5   2   9   4  12  11   1,8   5   2   9  10  12  11   1,56.1402,57.1394,58.1387,59.138,60.1373,61.2531,61.503
BR212,1,y,1,2,7,Hard,2,2,2,1.0479,1,10   7   1   4   2   9   6  11,10   7   3   4   2   9   6  11,64.1345,65.1344,66.1343,67.1342,68.1342,69.2007,69.4507
BR212,1,y,1,2,8,Hard,2,1,1,1.2757,1,10   2   1   6  12   7   9   3,10   2   1   6   8   7   9   3,72.1338,73.1337,74.1337,75.1432,76.1502,77.4415,77.7
BR212,1,y,1,3,9,Hard,2,1,1,1.0574,1,1   2   3   8   9   6  11   4,1   2   3  10   9   6  11   4,80.1562,81.1555,82.1548,83.1541,84.1534,85.2193,85.4691
BR212,1,y,1,3,10,Hard,2,2,2,0.96999,1,7  12   9   5  11  10   2   8,7  12   9   5  11   6   2   8,88.1505,89.1498,90.1491,91.149,92.1489,93.1321,93.3821
BR212,1,y,1,3,11,Hard,2,1,2,1.0036,0,9   1  11   7  10   3   2  12,9   1  11   7  10   3   6  12,96.1486,97.1485,98.1484,99.1483,100.1482,101.1648,101.4148
BR212,1,y,1,3,12,Hard,2,2,2,1.0896,1,10   1   4   2  11   5   9   6,10   1   4   2  11   5  12   6,104.1557,105.1645,106.1709,107.1702,108.1695,109.2687,109.5185
BR212,1,y,1,4,13,Easy,1,2,2,0.73865,1,6  10  12   9,11  10  12   9,112.1711,113.1805,114.1818,115.1811,116.1804,116.9302,117.1802
BR212,1,y,1,4,14,Easy,1,1,1,0.87204,1,2  4  6  7,10   4   6   7,120.18,121.1799,122.1798,123.1797,124.1796,125.0629,125.3129
BR212,1,y,1,4,15,Easy,1,2,2,0.82857,1,10   2   7   3,10   9   7   3,128.1884,129.1959,130.2037,131.2124,132.2189,133.0622,133.3181
BR212,1,y,1,4,16,Easy,1,2,2,0.70075,1,1  12  11   2,1  12   6   2,136.2287,137.2319,138.2312,139.2305,140.2298,140.9459,141.1958
BR212,1,y,1,5,17,Hard,2,2,2,0.92163,1,10   1  12  11   2   8   7   5,10   1  12  11   2   8   6   5,157.3009,158.3102,159.3161,160.3154,161.3147,162.2473,162.4971
BR212,1,y,1,5,18,Hard,2,2,2,1.2138,1,3  10   6   8   1  11   9  12,3  10   7   8   1  11   9  12,165.3118,166.3111,167.3104,168.3096,169.3093,170.5414,170.7925
BR212,1,y,1,5,19,Hard,2,1,2,0.84124,0,4  5  9  6  1  8  3  2,4   5   9   6  11   8   3   2,173.309,174.3089,175.3089,176.3088,177.3087,178.1586,178.4086
BR212,1,y,1,5,20,Hard,2,1,2,0.75767,0,9   6   5  11   4  10   8  12,9   6   5   2   4  10   8  12,181.317,182.325,183.3322,184.3415,185.3474,186.1135,186.3633
BR212,1,y,1,6,21,Easy,1,2,2,0.99532,1,8   1  11   4,8  12  11   4,189.3446,190.3438,191.3431,192.3424,193.3417,194.341,194.5909
BR212,1,y,1,6,22,Easy,1,1,2,0.5635,0,10   8   4   3,5  8  4  3,197.3404,198.3403,199.3403,200.3402,201.3401,201.9188,202.1733
