SubjID,Run,Feedback,Counterbalance,Block,Trial,Condition,Cond_num(1=E/2=H),CorResp(1=L/2=R),Resp,RT,GradedResp,CorGrid,DecoyGrid,TrialStart/Stim1,Stim2,Stim3,Stim4,MemProbe,Feedback,TrialEnd
BU212,1,y,1,1,1,Easy,1,2,2,0.97104,1,2   6  10  12,3   6  10  12,16.0808,17.0801,18.0794,19.0787,20.078,21.0606,21.3104
BU212,1,y,1,1,2,Easy,1,1,1,1.3043,1,9  12   7   1,9  12   3   1,24.0751,25.0749,26.0748,27.0748,28.0747,29.3912,29.6412
BU212,1,y,1,1,3,Easy,1,1,1,1.3799,1,1  12   4   3,1  12  10   3,32.0744,33.0743,34.0742,35.0839,36.0907,37.4822,37.7406
BU212,1,y,1,1,4,Easy,1,2,2,1.0404,1,11   4   5   8,11   4   5   9,40.097,41.0963,42.0956,43.0949,44.0942,45.1434,45.3932
BU212,1,y,1,2,5,Hard,2,1,1,0.86012,1,8  6  5  7  3  2  1  4,8   6   5   7   3  12   1   4,48.0913,49.0906,50.0899,51.0896,52.0895,52.9561,53.2061
BU212,1,y,1,2,6,Hard,2,1,1,1.0801,1,6  10   9   4  12   8   3   2,6  10   9   4   7   8   3   2,56.0892,57.0891,58.0891,59.089,60.0889,61.182,61.4388
BU212,1,y,1,2,7,Hard,2,2,2,0.83983,1,9   1   4  10  12   8   3   7,9   1   4  10  12   8   3  11,64.0967,65.1052,66.1118,67.1111,68.1104,68.9598,69.2096
BU212,1,y,1,2,8,Hard,2,2,2,0.98978,1,5  12   3  10   7  11   1   6,5  12   3  10   7  11   8   6,72.1076,73.1068,74.1061,75.1054,76.1047,77.1043,77.3543
BU212,1,y,1,3,9,Hard,2,1,1,0.96046,1,9   4   6  10   3   7  11   5,9   8   6  10   3   7  11   5,80.1041,81.104,82.1039,83.1038,84.1038,85.0816,85.337
BU212,1,y,1,3,10,Hard,2,1,2,0.87589,0,9  12  10   7   3  11   1   4,9  12  10   7   6  11   1   4,88.1128,89.1201,90.128,91.1366,92.1433,93.0364,93.2924
