SubjID,Run,Feedback,Counterbalance,Block,Trial,Condition,Cond_num(1=E/2=H),CorResp(1=L/2=R),Resp,RT,GradedResp,CorGrid,DecoyGrid,TrialStart/Stim1,Stim2,Stim3,Stim4,MemProbe,Feedback,TrialEnd
BU212,2,y,2,1,1,Hard,2,1,1,1.1988,1,2   3   9  12   8   5  10   6,2   3   9  12   8   5  10  11,16.0766,17.0843,18.0918,19.1008,20.107,21.3228,21.5726
BU212,2,y,2,1,2,Hard,2,2,2,0.86466,1,11   4   8   2  10   1   7  12,11   4   8   2  10   1   5  12,24.1041,25.1034,26.1027,27.102,28.1013,28.984,29.2338
BU212,2,y,2,1,3,Hard,2,1,2,0.99028,0,7  12   4   9  10   2   5   6,7  12   4   3  10   2   5   6,32.0998,33.0997,34.0996,35.0995,36.0995,37.0994,37.3493
BU212,2,y,2,1,4,Hard,2,1,2,1.092,0,8   6   4   7  12   3   9  10,8   6   4   7  12   2   9  10,40.0991,41.1087,42.1157,43.1239,44.1322,45.239,45.4889
BU212,2,y,2,2,5,Easy,1,2,2,0.81259,1,5  3  9  4,5   3  10   4,48.137,49.1363,50.1355,51.1348,52.1341,52.9648,53.2167
BU212,2,y,2,2,6,Easy,1,1,1,0.69938,1,11   5   1  10,11   5   4  10,56.1313,57.1312,58.1311,59.131,60.1309,60.8475,61.0975
BU212,2,y,2,2,7,Easy,1,2,2,1.1783,1,4  9  2  6,4  12   2   6,64.1306,65.1305,66.1305,67.1401,68.147,69.3385,69.5969
BU212,2,y,2,2,8,Easy,1,1,1,0.62818,1,7  10   9   3,7  6  9  3,72.1532,73.1524,74.1517,75.151,76.1503,76.7963,77.0496
BU212,2,y,2,3,9,Easy,1,2,2,0.82898,1,11   1   3  12,5   1   3  12,80.1474,81.1467,82.146,83.1458,84.1457,84.979,85.229
BU212,2,y,2,3,10,Easy,1,1,1,1.1728,1,8   1  10  12,8  11  10  12,88.1454,89.1454,90.1453,91.1452,92.1451,93.3284,93.5783
BU212,2,y,2,3,11,Easy,1,2,2,0.94945,1,10   6   5   3,9  6  5  3,96.1527,97.1614,98.1679,99.1672,100.1665,101.1324,101.3823
BU212,2,y,2,3,12,Easy,1,1,1,0.68646,1,9  10  11   8,9  10   6   8,104.1636,105.1629,106.1622,107.1615,108.1608,108.8605,109.1105
BU212,2,y,2,4,13,Hard,2,1,1,1.135,1,4   9  12   3   8  11  10   5,4   9   1   3   8  11  10   5,112.1664,113.1768,114.1768,115.1767,116.1766,117.3265,117.5765
BU212,2,y,2,4,14,Hard,2,2,1,0.77819,0,2   7   4  12   9   3   6   1,8   7   4  12   9   3   6   1,120.1855,121.1929,122.2007,123.2094,124.216,125.0092,125.2652
BU212,2,y,2,4,15,Hard,2,2,2,1.0522,1,7   1  11   6   4   8  10   5,7   1  11   6   4   8   2   5,128.2257,129.2291,130.2283,131.2276,132.2269,133.2928,133.5426
BU212,2,y,2,4,16,Hard,2,1,2,1.109,0,7   8   2   9   5  12   3   6,7   8   2   9   5  12   3  11,136.2251,137.225,138.2249,139.2248,140.2248,141.3413,141.5913
BU212,2,y,2,5,17,Easy,1,2,2,0.83363,1,9  5  4  6,9  5  4  7,157.6921,158.6913,159.6906,160.6899,161.6898,162.5397,162.7897
BU212,2,y,2,5,18,Easy,1,2,2,1.1243,1,9  4  2  1,12   4   2   1,165.6895,166.6894,167.6893,168.6892,169.6892,170.8224,171.0724
BU212,2,y,2,5,19,Easy,1,1,1,1.0005,1,9   1   7  11,2   1   7  11,173.6973,174.7054,175.7125,176.7219,177.7278,178.7437,178.9935
BU212,2,y,2,5,20,Easy,1,2,2,1.0871,1,6   3  10   2,6   8  10   2,181.7249,182.7242,183.7235,184.7228,185.722,186.8212,187.0711
BU212,2,y,2,6,21,Hard,2,2,2,1.1253,1,7  11  10   6  12   5   4   1,7  11  10   3  12   5   4   1,189.7209,190.7209,191.7208,192.7207,193.7206,194.8539,195.1038
BU212,2,y,2,6,22,Hard,2,1,1,1.0599,1,2   7   9   5   1  10   3  11,2  12   9   5   1  10   3  11,197.7301,198.7369,199.7454,200.7534,201.7606,202.8366,203.093
BU212,2,y,2,6,23,Hard,2,2,2,1.1293,1,10   6   9  12   8   4   1  11,10   6   7  12   8   4   1  11,205.7697,206.7737,207.773,208.7723,209.7715,210.904,211.1539
BU212,2,y,2,6,24,Hard,2,2,2,1.2507,1,2  12   3  10   6   5   7  11,2  12   3  10   6   1   7  11,213.7691,214.769,215.7689,216.7689,217.7688,219.0353,219.2853
BU212,2,y,2,7,25,Hard,2,1,2,0.86335,0,4   8   5   2   7  12   3   6,4  11   5   2   7  12   3   6,221.7685,222.7684,223.7683,224.7775,225.7848,226.6595,226.9181
BU212,2,y,2,7,26,Hard,2,2,2,1.2607,1,6   4   2  10   1   8  12   5,6   4   2  10   7   8  12   5,229.7906,230.7899,231.7892,232.7884,233.7877,235.0535,235.3033
BU212,2,y,2,7,27,Hard,2,2,2,0.63811,1,4   2  12   6  11   8   5   3,4   2  12   6  11  10   5   3,237.7849,238.7842,239.7838,240.7837,241.7836,242.4335,242.6835
BU212,2,y,2,7,28,Hard,2,1,2,1.1401,0,6   2   5   3   4   7  10   1,6   2   5   8   4   7  10   1,245.7833,246.7832,247.7831,248.7831,249.783,250.9329,251.1829
BU212,2,y,2,8,29,Easy,1,1,1,1.1697,1,11   3   9   6,10   3   9   6,253.7901,254.7993,255.8053,256.8046,257.8039,258.9864,259.2362
BU212,2,y,2,8,30,Easy,1,2,2,0.6545,1,7   6   5  12,7  11   5  12,261.8011,262.8003,263.7996,264.7989,265.7984,266.465,266.715
BU212,2,y,2,8,31,Easy,1,2,2,1.029,1,11   1   7   6,11   1   7   2,269.7981,270.798,271.798,272.7979,273.7978,274.8417,275.0977
BU212,2,y,2,8,32,Easy,1,1,1,1.3433,1,8  11   3   5,8  11   6   5,277.8063,278.8141,279.8215,280.8306,281.8368,283.1971,283.4522
BU212,2,y,2,9,33,Hard,2,2,2,0.98196,1,10  11  12   3   2   1   9   7,10  11  12   3   2   1   6   7,299.5574,300.5624,301.5623,302.5719,303.5789,304.5788,304.837
BU212,2,y,2,9,34,Hard,2,2,2,1.235,1,2   1   5  12   9   4   6   8,2   1   5  12   9   4   6   3,307.585,308.5843,309.5836,310.5829,311.5822,312.8313,313.0811
BU212,2,y,2,9,35,Hard,2,1,2,1.003,0,8   7  11   9   6   5   1  12,2   7  11   9   6   5   1  12,315.5793,316.5786,317.5779,318.5777,319.5776,320.5942,320.8442
BU212,2,y,2,9,36,Hard,2,1,1,0.88332,1,11   1  10   7   9   6  12   2,11   1  10   7   9   6   5   2,323.5773,324.5772,325.5772,326.5771,327.577,328.4769,328.7269
BU212,2,y,2,10,37,Easy,1,1,1,0.79169,1,2   9  12  10,7   9  12  10,331.5846,332.5933,333.5998,334.5991,335.5984,336.3978,336.6476
BU212,2,y,2,10,38,Easy,1,1,1,1.1827,1,3  11   5  12,1  11   5  12,339.5955,340.5948,341.5941,342.5934,343.5927,344.7923,345.0423
BU212,2,y,2,10,39,Easy,1,2,2,1.4014,1,2  11   1   8,5  11   1   8,347.5921,348.5921,349.592,350.5919,351.5918,353.0084,353.2584
BU212,2,y,2,10,40,Easy,1,1,2,1.4153,0,1   5  12   3,1  10  12   3,355.6008,356.6081,357.616,358.6246,359.6312,361.0635,361.3133
BU212,2,y,2,11,41,Easy,1,1,1,1.0047,1,9   7   2  11,1   7   2  11,363.6409,364.6443,365.6436,366.6429,367.6422,368.6581,368.9079
