SubjID,Run,Feedback,Counterbalance,Block,Trial,Condition,Cond_num(1=E/2=H),CorResp(1=L/2=R),Resp,RT,GradedResp,CorGrid,DecoyGrid,TrialStart/Stim1,Stim2,Stim3,Stim4,MemProbe,Feedback,TrialEnd
BU213,2,y,2,1,1,Hard,2,2,2,0.73568,1,1  10   6   8   5  11   9   4,7  10   6   8   5  11   9   4,16.0364,17.0363,18.0362,19.0453,20.0527,20.8026,21.0605
BU213,2,y,2,1,2,Hard,2,2,2,1.0214,1,10   7  12   2   5   4   6  11,10   7  12   2   5   4   8  11,24.0584,25.0577,26.057,27.0563,28.0555,29.0881,29.3379
BU213,2,y,2,1,3,Hard,2,2,2,0.83405,1,12   8  11   7   4   9   1   5,3   8  11   7   4   9   1   5,32.0527,33.052,34.0516,35.0515,36.0514,36.9014,37.1513
BU213,2,y,2,1,4,Hard,2,1,1,1.2007,1,12   2   8   6   5   7   9   3,12   2   8   1   5   7   9   3,40.0511,41.051,42.051,43.0509,44.0508,45.2674,45.5173
BU213,2,y,2,2,5,Easy,1,1,1,0.98704,1,3   9   8  10,3   9   7  10,48.0579,49.0671,50.0731,51.0724,52.0717,53.0709,53.3208
BU213,2,y,2,2,6,Easy,1,2,2,1.1251,1,9  5  3  8,9   5   3  11,56.0688,57.0681,58.0674,59.0667,60.0662,61.1994,61.4494
BU213,2,y,2,2,7,Easy,1,2,2,1.2096,1,11   8   1   6,12   8   1   6,64.0659,65.0658,66.0657,67.0657,68.0656,69.2927,69.5488
BU213,2,y,2,2,8,Easy,1,1,2,1.0442,0,11   4   6   7,10   4   6   7,72.074,73.0819,74.0892,75.0984,76.1045,77.1648,77.4202
BU213,2,y,2,3,9,Easy,1,2,2,0.79019,1,12   9   6   3,12   9   6   5,80.1016,81.1009,82.1002,83.0995,84.0987,84.8982,85.148
BU213,2,y,2,3,10,Easy,1,1,1,0.98414,1,6   1   8  11,7   1   8  11,88.0973,89.0973,90.0972,91.0971,92.097,93.0969,93.3469
BU213,2,y,2,3,11,Easy,1,1,1,0.72251,1,3  6  7  5,4  6  7  5,96.0967,97.1061,98.1132,99.1213,100.1297,100.8701,101.1199
BU213,2,y,2,3,12,Easy,1,1,1,1.0438,1,4   7   5  10,4   8   5  10,104.1344,105.1337,106.133,107.1323,108.1315,109.1808,109.4306
BU213,2,y,2,4,13,Hard,2,2,2,1.0738,1,1   9   8   5   3   6  10  12,1   9   8   7   3   6  10  12,112.1288,113.1287,114.1286,115.1285,116.1285,117.2117,117.4617
