SubjID,Run,Feedback,Counterbalance,Block,Trial,Condition,Cond_num(1=E/2=H),CorResp(1=L/2=R),Resp,RT,GradedResp,CorGrid,DecoyGrid,TrialStart/Stim1,Stim2,Stim3,Stim4,MemProbe,Feedback,TrialEnd
AP212,2,y,2,1,1,Hard,2,2,2,0.63469,1,10   7   6   2  12   8   4   1,10   7   6   2  12   8   4   5,16.0686,17.0679,18.0672,19.0665,20.0658,20.7153,20.9651
AP212,2,y,2,1,2,Hard,2,2,1,0.72643,0,7   1   5  12   4   8   9  11,7   1   5  12   4   6   9  11,24.063,25.0623,26.0619,27.0619,28.0618,28.7951,29.0451
AP212,2,y,2,1,3,Hard,2,2,1,0.53654,0,6   9   2   3   7  10  11   4,6   9   8   3   7  10  11   4,32.0615,33.0615,34.0614,35.0613,36.0613,36.6112,36.8612
AP212,2,y,2,1,4,Hard,2,2,1,0.59941,0,8   5   2   1   3   9  11   4,8  10   2   1   3   9  11   4,40.0683,41.0776,42.0836,43.0829,44.0822,44.6984,44.9482
AP212,2,y,2,2,5,Easy,1,2,2,0.85458,1,6  11  10   1,6  11  10   5,48.0793,49.0786,50.0779,51.0772,52.0768,52.9434,53.1934
AP212,2,y,2,2,6,Easy,1,1,1,0.61474,1,3  12   8   4,3  10   8   4,56.0765,57.0765,58.0764,59.0763,60.0763,60.7038,60.9595
AP212,2,y,2,2,7,Easy,1,1,1,0.51612,1,11   2   5   6,11  12   5   6,64.0847,65.0926,66.1,67.1091,68.1152,68.6482,68.898
AP212,2,y,2,2,8,Easy,1,1,1,0.51467,1,7   2  10  12,7   3  10  12,72.1124,73.1117,74.111,75.1103,76.1096,76.6418,76.8923
AP212,2,y,2,3,9,Easy,1,2,2,0.53179,1,9   1   6  11,9   1   7  11,80.1082,81.1082,82.1081,83.108,84.108,84.6579,84.9079
AP212,2,y,2,3,10,Easy,1,1,1,0.62682,1,4   8  12   9,2   8  12   9,88.1077,89.1171,90.1242,91.1323,92.1407,92.7811,93.0309
AP212,2,y,2,3,11,Easy,1,1,1,0.62284,1,12   8   9   2,12   8   4   2,96.1454,97.1447,98.144,99.1433,100.1426,100.7755,101.0253
AP212,2,y,2,3,12,Easy,1,2,2,0.61603,1,3   7  10   8,4   7  10   8,104.1399,105.1399,106.1398,107.1397,108.1397,108.7729,109.0229
AP212,2,y,2,4,13,Hard,2,2,1,0.55856,0,5   3   8  12   2   1   9  11,5   3   8   7   2   1   9  11,112.1457,113.1501,114.1559,115.1653,116.1724,116.7475,117.0057
AP212,2,y,2,4,14,Hard,2,1,1,0.87195,1,12   4   5   8  10   6   9   2,12   4   5   8  10  11   9   2,120.1785,121.1778,122.1771,123.1764,124.1757,125.0584,125.3082
AP212,2,y,2,4,15,Hard,2,1,1,0.6943,1,4   1  12   5   3   9   8  11,4   1  12   5  10   9   8  11,128.1728,129.1721,130.1715,131.1714,132.1713,132.8713,133.1213
AP212,2,y,2,4,16,Hard,2,1,2,0.65059,0,4   5   7  12   8  10   1   9,4   5   7  12   6  10   1   9,136.1711,137.171,138.1709,139.1709,140.1708,140.8374,141.0874
AP212,2,y,2,5,17,Easy,1,2,2,0.67723,1,2   5  10  11,2   5   3  11,157.1863,158.1862,159.1862,160.1861,161.186,161.8693,162.1193
AP212,2,y,2,5,18,Easy,1,1,1,0.577,1,2  5  3  8,2   5  11   8,165.1858,166.1857,167.1953,168.2022,169.2106,169.8021,170.0599
AP212,2,y,2,5,19,Easy,1,1,2,0.82173,0,3  10   6   8,3  11   6   8,173.2185,174.2237,175.223,176.2223,177.2216,178.0543,178.3041
AP212,2,y,2,5,20,Easy,1,2,2,0.49636,1,4  5  2  7,4  5  3  7,181.2187,182.218,183.2179,184.2178,185.2177,185.7177,185.9677
AP212,2,y,2,6,21,Hard,2,2,2,0.55167,1,11   1   6   7   5   8   3  10,11   1   6   7   5   8   3   2,189.2174,190.2174,191.2173,192.2172,193.2269,193.7932,194.0504
AP212,2,y,2,6,22,Hard,2,2,1,0.69352,0,2   6   4   8   3  11  12   7,2   6   4   8   9  11  12   7,197.2336,198.2401,199.2394,200.2387,201.238,201.9375,202.1873
AP212,2,y,2,6,23,Hard,2,1,1,0.55114,1,10   1   4   8   2  12   7   5,10   1   4   8   2  12   6   5,205.2351,206.2344,207.2337,208.233,209.2327,209.7994,210.0493
AP212,2,y,2,6,24,Hard,2,2,1,0.57111,0,3  11   8   2   6   4  12   1,3  11   8   9   6   4  12   1,213.2325,214.2324,215.2323,216.2323,217.2322,217.8155,218.0655
AP212,2,y,2,7,25,Hard,2,2,2,0.73621,1,10   8  12   2   7   4   5  11,10   8  12   2   1   4   5  11,221.2405,222.2485,223.2558,224.2651,225.271,226.0205,226.2703
AP212,2,y,2,7,26,Hard,2,1,1,0.53662,1,4  11   6   7   8   5   1   3,4  11   6   7   2   5   1   3,229.2682,230.2675,231.2668,232.2661,233.2654,233.815,234.0648
AP212,2,y,2,7,27,Hard,2,2,2,0.90113,1,3  11   9   5   1  12   2  10,3  11   9   5   1   7   2  10,237.2642,238.2641,239.264,240.264,241.2639,242.1805,242.4305
