SubjID,Run,Feedback,Counterbalance,Block,Trial,Condition,Cond_num(1=E/2=H),CorResp(1=L/2=R),Resp,RT,GradedResp,CorGrid,DecoyGrid,TrialStart/Stim1,Stim2,Stim3,Stim4,MemProbe,Feedback,TrialEnd
BO212,1,y,1,9,35,Easy,1,2,2,0.79134,1,8   7  10   4,8   7  10  12,315.091,316.0991,317.1062,318.1156,319.1214,319.9208,320.1707
BO212,1,y,1,9,36,Easy,1,2,2,1.6444,1,6   4   9  10,12   4   9  10,323.1186,324.1179,325.1172,326.1164,327.1157,328.7648,329.0148
BO212,1,y,1,10,37,Hard,2,1,1,1.5929,1,2   8  12   3   7  11   9   6,2   8  12   3   4  11   9   6,331.1146,332.1145,333.1145,334.1144,335.1143,336.7142,336.9642
BO212,1,y,1,10,38,Hard,2,1,1,1.6563,1,7   3  10  12   5   9   4  11,1   3  10  12   5   9   4  11,339.1238,340.1306,341.1391,342.1471,343.1543,344.8198,345.0696
BO212,1,y,1,10,39,Hard,2,2,2,1.1668,1,7   1   4  12  11  10   9   3,7   1   4  12  11  10   5   3,347.1634,348.1674,349.1667,350.166,351.1653,352.3477,352.5976
BO212,1,y,1,10,40,Hard,2,1,2,1.5346,0,1  12  10   4   9   2   5  11,1  12  10   4   7   2   5  11,355.1628,356.1627,357.1627,358.1626,359.1625,360.7124,360.9624
BO212,1,y,1,11,41,Hard,2,1,1,1.1978,1,8   7  10   5   9   2  11   1,8   7  10   5   9   2  12   1,363.1622,364.1621,365.1621,366.1712,367.1786,368.3863,368.6451
BO212,1,y,1,11,42,Hard,2,1,1,1.2699,1,3   8  10   2  11   9   7  12,3   8   4   2  11   9   7  12,371.1843,372.1836,373.1829,374.1822,375.1815,376.4639,376.7137
BO212,1,y,1,11,43,Hard,2,2,1,1.4478,0,12   6   2  10   3   8  11   4,12   6   2  10   3   8   7   4,379.1786,380.1779,381.1775,382.1775,383.1774,384.6439,384.8939
BO212,1,y,1,11,44,Hard,2,2,1,1.066,0,4   5  11   1   9   3   6   7,4   5  10   1   9   3   6   7,387.1771,388.177,389.1769,390.1768,391.1768,392.26,392.51
BO212,1,y,1,12,45,Easy,1,2,2,0.99033,1,7  9  1  2,7   9   1  12,395.1839,396.1931,397.1991,398.1984,399.1977,400.197,400.4468
BO212,1,y,1,12,46,Easy,1,2,2,1.2307,1,5   2  11   1,5  2  8  1,403.1949,404.1942,405.1934,406.1927,407.1922,408.4255,408.6754
BO212,1,y,1,12,47,Easy,1,1,1,1.2116,1,12  11   6   9,12  11   8   9,411.1919,412.1919,413.1918,414.1917,415.1916,416.4188,416.6748
BO212,1,y,1,12,48,Easy,1,2,2,0.84922,1,6  2  4  1,3  2  4  1,419.2001,420.2079,421.2154,422.2244,423.2306,424.0966,424.3465
