SubjID,Run,Feedback,Counterbalance,Block,Trial,Condition,Cond_num(1=E/2=H),CorResp(1=L/2=R),Resp,RT,GradedResp,CorGrid,DecoyGrid,TrialStart/Stim1,Stim2,Stim3,Stim4,MemProbe,Feedback,TrialEnd
BO212,2,y,2,1,1,Hard,2,1,1,1.421,1,7  12   6   1  10   3   5  11,9  12   6   1  10   3   5  11,16.0943,17.0942,18.0941,19.094,20.094,21.5272,21.7772
BO212,2,y,2,1,2,Hard,2,2,2,1.8641,1,2   4  12   6  11   5   7   8,2   4  12   6  11   9   7   8,24.1016,25.1102,26.1168,27.1161,28.1154,29.9974,30.2472
BO212,2,y,2,1,3,Hard,2,1,2,1.933,0,4   3  12   8   5  10   6   7,4   3  12   1   5  10   6   7,32.1125,33.1118,34.1111,35.1104,36.1097,38.0592,38.3092
BO212,2,y,2,1,4,Hard,2,2,2,1.0324,1,10   7   4   8   2   6   9   5,10   7  11   8   2   6   9   5,40.1091,41.109,42.109,43.1089,44.1088,45.1587,45.4087
BO212,2,y,2,2,5,Easy,1,2,1,2.2938,0,4  11   9  10,4  11   7  10,48.1178,49.1251,50.133,51.1416,52.1483,54.458,54.7131
BO212,2,y,2,2,6,Easy,1,2,2,1.2276,1,9  11   3   6,9  11   7   6,56.1579,57.1614,58.1606,59.1599,60.1592,61.3917,61.6415
BO212,2,y,2,2,7,Easy,1,1,1,0.93566,1,2  11   6   1,2  11   6   4,64.1573,65.1572,66.1571,67.1571,68.157,69.1069,69.3569
BO212,2,y,2,2,8,Easy,1,2,2,1.2131,1,11   4   7   6,11   4   7   1,72.1567,73.1566,74.1659,75.1731,76.1811,77.4063,77.6634
BO212,2,y,2,3,9,Easy,1,1,1,1.0966,1,5   6   3  10,5   6   3  12,80.1894,81.1942,82.1935,83.1928,84.1921,85.3057,85.5578
BO212,2,y,2,3,10,Easy,1,2,2,0.88331,1,8   4  10   9,8   4  12   9,88.1892,89.1887,90.1886,91.1886,92.1885,93.0884,93.3384
